Messstelle:                ;St. Michael im Lungau
HZB-Nummer:                ;203752
HD-Nummer:                 ;
DBMS-Nummer:               ;5001070
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;289,2
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01041,75
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1881              ;473080,00 - 217160,00
Exportzeitreihe:           ;(5001070,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1961 12:00,01.01.2022 00:00]
Werte:
22.02.2000 08:15:00;  1,60
06.03.2000 09:45:00;  1,89
09.04.2000 10:41:45;  3,12
25.05.2000 04:22:10;  7,03
30.06.2000 02:28:00;  4,74
28.07.2000 07:00:00;  4,43
26.08.2000 05:30:00;  4,55
28.09.2000 05:45:00;  3,52
01.10.2000 09:15:00;  4,07
02.11.2000 22:00:00;  4,56
23.12.2000 08:45:00;  2,77
15.01.2001 11:30:00;  2,35
25.02.2001 08:00:00;  2,10
01.03.2001 11:15:00;  2,63
23.04.2001 08:32:35;  3,53
01.05.2001 09:36:30;  8,90
15.06.2001 05:13:30;  7,70
31.07.2001 03:15:00;  4,44
30.08.2001 08:30:00;  2,49
03.09.2001 05:45:00;  3,07
11.10.2001 05:45:00;  2,77
21.11.2001 11:45:00;  2,12
24.12.2001 09:45:00;  1,23
04.01.2002 09:00:00; 0,834
04.02.2002 07:15:00;  1,37
04.03.2002 10:45:00;  1,52
10.04.2002 05:30:00;  2,60
01.05.2002 10:00:00;  5,05
27.06.2002 15:24:50;  3,76
14.07.2002 12:00:00;  3,11
04.08.2002 18:45:00;  3,19
17.09.2002 07:15:00;  3,25
30.10.2002 01:30:00;  3,30
08.11.2002 09:30:00;  2,88
27.12.2002 13:45:00;  3,21
13.01.2003 00:45:00;  2,10
15.02.2003 07:00:00;  1,53
09.03.2003 03:45:00;  1,74
11.04.2003 07:30:00;  1,99
18.05.2003 04:15:00;  5,45
30.06.2003 03:00:00;  4,62
27.07.2003 01:00:00;  3,34
28.08.2003 08:45:00;  1,97
30.09.2003 22:30:00;  2,10
01.10.2003 02:45:00;  1,97
23.11.2003 10:00:00;  2,55
24.12.2003 09:30:00;  1,18
17.01.2004 05:00:00;  1,29
25.02.2004 02:30:00;  1,50
01.03.2004 08:30:00;  1,62
16.04.2004 12:30:00;  3,04
11.05.2004 14:45:00;  6,34
22.06.2004 07:15:00;  11,5
31.07.2004 09:30:00;  4,85
18.08.2004 08:00:00;  3,62
22.09.2004 08:30:00;  2,92
19.10.2004 23:30:00;  2,92
25.11.2004 09:30:00;  3,12
22.12.2004 16:08:55;  2,30
30.01.2005 09:00:00;  1,23
06.02.2005 08:00:00;  1,23
01.03.2005 08:00:00;  1,14
03.04.2005 10:00:00;  4,23
11.05.2005 19:00:00;  5,43
11.06.2005 12:30:00;  4,82
