Messstelle:                ;Muhr
HZB-Nummer:                ;203745
HD-Nummer:                 ;
DBMS-Nummer:               ;5001069
Gewässer:                  ;Mur
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Salzburg AG für Energie, Verkehr und Telekommunikation
orogr.Einzugsgebiet [km²]: ;75,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;01137,50
   01.01.1992              ;01119,67
   10.04.2008              ;01119,83
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.11.1950              ;460735,00 - 218670,00
   01.01.1992              ;461780,00 - 218210,00
   10.04.2010              ;461742,00 - 218224,70
Exportzeitreihe:           ;(5001069,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[22.01.1961 12:00,01.01.2022 00:00]
Werte:
04.11.2006 02:00:00; 0,657
14.12.2006 08:45:00; 0,601
18.01.2007 16:30:00; 0,601
14.02.2007 10:00:00; 0,665
19.03.2007 16:45:00; 0,550
02.04.2007 07:15:00; 0,665
05.05.2007 20:00:00; 0,887
09.06.2007 03:15:00; 0,806
22.07.2007 08:15:00; 0,958
07.08.2007 01:15:00; 0,876
01.09.2007 19:00:00;  1,05
22.10.2007 02:00:00; 0,718
25.11.2007 18:45:00; 0,657
20.12.2007 06:45:00; 0,657
09.01.2008 01:15:00; 0,550
02.02.2008 13:45:00; 0,730
20.03.2008 17:15:00; 0,718
14.04.2008 01:00:00; 0,811
14.05.2008 22:15:00;  1,00
02.06.2008 13:00:00;  1,23
11.07.2008 04:30:00; 0,933
08.08.2008 07:15:00; 0,870
18.09.2008 18:00:00; 0,704
22.10.2008 00:30:00; 0,611
05.11.2008 15:45:00; 0,611
11.12.2008 06:00:00; 0,656
10.01.2009 11:00:00; 0,530
05.02.2009 20:30:00; 0,530
11.03.2009 01:45:00; 0,704
02.04.2009 09:30:00; 0,811
28.05.2009 13:30:00;  1,07
06.06.2009 05:45:00;  1,00
01.07.2009 04:45:00;  1,23
07.08.2009 15:45:00; 0,933
09.09.2009 07:45:00; 0,870
31.10.2009 02:30:00; 0,656
19.11.2009 16:00:00; 0,756
02.12.2009 16:15:00; 0,756
04.01.2010 01:15:00; 0,759
01.02.2010 05:15:00; 0,759
18.03.2010 21:15:00; 0,704
03.04.2010 03:15:00; 0,704
02.05.2010 07:45:00; 0,704
06.06.2010 08:00:00;  1,07
03.07.2010 23:45:00;  1,00
29.08.2010 08:30:00;  1,08
24.09.2010 23:00:00; 0,940
28.10.2010 23:00:00; 0,692
18.11.2010 16:00:00; 0,643
27.12.2010 08:00:00; 0,643
18.01.2011 20:15:00; 0,692
04.02.2011 10:30:00; 0,692
11.03.2011 21:30:00; 0,604
10.04.2011 16:30:00; 0,643
02.05.2011 06:15:00; 0,741
22.06.2011 21:30:00; 0,848
17.07.2011 18:45:00; 0,925
25.08.2011 06:00:00; 0,763
18.09.2011 11:30:00;  1,01
26.10.2011 02:00:00; 0,944
09.11.2011 11:30:00; 0,820
19.12.2011 08:30:00; 0,820
09.01.2012 21:15:00; 0,532
01.02.2012 20:15:00; 0,569
11.03.2012 10:15:00; 0,532
08.04.2012 22:45:00; 0,614
19.05.2012 09:00:00;  1,15
26.06.2012 16:00:00;  1,32
20.07.2012 00:00:00;  1,74
16.08.2012 11:45:00;  1,03
17.09.2012 21:00:00;  1,61
09.10.2012 15:00:00; 0,964
08.11.2012 13:00:00; 0,848
05.12.2012 06:15:00; 0,790
05.01.2013 09:45:00; 0,790
09.02.2013 20:15:00; 0,741
04.03.2013 01:15:00; 0,790
12.04.2013 06:15:00; 0,692
28.05.2013 10:45:00;  1,52
13.06.2013 11:45:00;  1,52
01.07.2013 13:00:00; 0,871
19.08.2013 07:00:00; 0,944
05.09.2013 17:00:00; 0,877
11.10.2013 11:15:00; 0,820
06.11.2013 06:15:00; 0,820
03.12.2013 10:30:00; 0,820
02.01.2014 21:00:00; 0,763
17.02.2014 10:15:00; 0,658
03.03.2014 16:30:00; 0,610
07.04.2014 01:15:00; 0,763
18.05.2014 03:00:00; 0,964
11.06.2014 06:30:00;  1,61
18.07.2014 10:00:00;  1,26
31.08.2014 06:45:00; 0,964
30.09.2014 13:00:00; 0,733
