Messstelle:                ;Roßleithen (Klammstein)
HZB-Nummer:                ;206821
HD-Nummer:                 ;8460
DBMS-Nummer:               ;4001223
Gewässer:                  ;Hinterer Rettenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;15,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1991              ;00590,00
   10.11.1992              ;00593,60
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1990              ;523065,00 - 290890,00
   01.01.2018              ;523078,07 - 290908,33
Exportzeitreihe:           ;(4001223,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1991 00:15,01.01.2022 00:00]
Werte:
21.11.2017 04:00:00; 0,436
20.12.2017 17:45:00; 0,287
18.01.2018 17:30:00; 0,298
28.02.2018 19:30:00; 0,169
01.03.2018 09:15:00; 0,165
02.04.2018 13:15:00; 0,732
31.05.2018 11:45:00; 0,382
23.06.2018 00:30:00; 0,272
31.07.2018 22:45:00; 0,142
24.08.2018 17:00:00; 0,042
22.09.2018 06:15:00; 0,096
23.10.2018 19:45:00; 0,052
28.11.2018 16:45:00; 0,034
01.12.2018 02:15:00; 0,034
31.01.2019 21:30:00; 0,226
01.02.2019 18:15:00; 0,223
21.03.2019 14:00:00; 0,650
15.04.2019 12:00:00; 0,660
07.05.2019 13:15:00; 0,990
29.06.2019 12:30:00; 0,369
27.07.2019 10:15:00; 0,184
29.08.2019 12:15:00; 0,102
23.09.2019 20:30:00; 0,101
28.10.2019 22:45:00; 0,082
04.11.2019 04:45:00; 0,099
08.12.2019 19:15:00; 0,094
21.01.2020 16:45:00; 0,250
22.02.2020 16:45:00; 0,433
27.03.2020 18:15:00; 0,351
01.04.2020 16:15:00; 0,368
22.05.2020 13:00:00; 0,496
15.06.2020 01:00:00; 0,501
31.07.2020 23:59:55; 0,300
02.08.2020 18:15:00; 0,250
25.09.2020 05:15:00; 0,189
06.10.2020 22:30:00; 0,263
30.11.2020 23:59:55; 0,161
14.12.2020 20:15:00; 0,108
20.01.2021 22:00:00; 0,067
16.02.2021 23:30:00; 0,191
24.03.2021 14:45:00; 0,203
09.04.2021 13:30:00; 0,351
06.05.2021 16:30:00; 0,718
30.06.2021 23:59:55; 0,148
04.07.2021 16:45:00; 0,127
16.08.2021 17:17:55; 0,302
23.09.2021 10:15:05; 0,162
31.10.2021 23:59:55; 0,166
23.11.2021 08:34:30; 0,107
08.12.2021 09:50:00; 0,044
