Messstelle:                ;Lustenau (Hofsteig)
HZB-Nummer:                ;200220
HD-Nummer:                 ;
DBMS-Nummer:               ;8001022
Gewässer:                  ;Rheintalbinnenkanal
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Vorarlberg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;78,51
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00400,50
   01.01.1986              ;00399,60
   01.01.1996              ;00399,56
   14.10.2014              ;00399,52
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1949              ;101964,00 - 255286,00
Exportzeitreihe:           ;(8001022,Abfluss,M,Max,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 01:00,01.01.2022 00:00]
Werte:
27.03.2009 10:30:00;  5,66
04.04.2009 23:25:00;  2,64
04.05.2009 10:25:00;  5,72
23.06.2009 11:31:20;  14,6
18.07.2009 04:40:00;  25,2
03.08.2009 23:35:00;  23,7
02.09.2009 20:10:00;  6,17
14.10.2009 04:45:00;  6,46
18.11.2009 11:10:00;  8,73
30.12.2009 10:25:00;  8,36
02.01.2010 00:30:00;  3,78
06.02.2010 07:00:00;  3,00
26.03.2010 21:05:00;  3,74
01.04.2010 11:55:00;  2,21
03.05.2010 06:20:00;  10,7
18.06.2010 16:00:00;  26,4
30.07.2010 10:50:00;  20,4
06.08.2010 02:45:00;  35,9
25.09.2010 22:40:00;  18,3
20.10.2010 11:20:00;  5,39
16.11.2010 12:40:00;  7,14
24.12.2010 17:00:00;  3,77
13.01.2011 14:20:00;  11,7
28.02.2011 02:40:00;  4,35
18.03.2011 04:25:00;  17,5
04.04.2011 13:35:00;  5,36
15.05.2011 11:50:00;  8,40
18.06.2011 17:10:00;  21,0
13.07.2011 23:55:00;  16,5
07.08.2011 14:30:00;  10,6
18.09.2011 15:35:00;  17,8
10.10.2011 13:15:00;  17,2
01.11.2011 00:00:00; 0,589
31.12.2011 23:59:55;  14,8
01.01.2012 05:00:00;  16,9
26.02.2012 10:35:00;  3,73
05.03.2012 10:45:00;  2,07
24.04.2012 12:25:00;  3,80
12.05.2012 15:25:00;  6,17
04.06.2012 03:15:00;  17,2
04.07.2012 23:45:00;  5,44
26.08.2012 01:25:00;  26,2
19.09.2012 09:20:00;  11,9
10.10.2012 01:05:00;  36,0
05.11.2012 06:15:00;  10,9
23.12.2012 07:20:00;  16,4
11.01.2013 10:05:00;  5,71
02.02.2013 11:00:00;  10,5
30.03.2013 23:55:00;  4,36
