Messstelle:                ;Koflerkreuz
HZB-Nummer:                ;202077
HD-Nummer:                 ;
DBMS-Nummer:               ;7001098
Gewässer:                  ;Zirmbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;64,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.06.1978              ;01370,00
   03.05.1983              ;01383,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1973              ;210448,31 - 229472,79
Exportzeitreihe:           ;(7001098,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1981 00:30,01.01.2022 00:00]
Werte:
08.07.2014 09:15:00;    36
30.08.2014 21:15:00;    41
30.09.2014 09:00:00;    33
23.10.2014 07:00:00;    28
30.11.2014 13:30:00;    27
29.12.2014 08:45:00;    22
30.01.2015 11:15:00;    20
27.02.2015 07:45:00;    18
03.03.2015 02:15:00;    17
02.04.2015 21:45:00;    19
01.05.2015 05:00:00;    29
30.06.2015 16:30:00;    43
21.07.2015 22:30:00;    34
01.08.2015 10:45:00;    36
30.09.2015 19:15:00;    34
30.10.2015 17:45:00;    25
24.11.2015 07:45:00;    22
30.12.2015 06:30:00;    19
30.01.2016 10:00:00;    18
20.02.2016 04:30:00;    17
15.03.2016 08:15:00;    17
01.04.2016 11:15:00;    21
04.05.2016 16:30:00;    26
04.06.2016 06:15:00;    49
31.07.2016 07:15:00;    43
31.08.2016 14:15:00;    37
28.09.2016 22:00:00;    31
30.10.2016 15:45:00;    28
29.11.2016 09:15:00;    20
25.12.2016 11:45:00;    19
30.01.2017 10:30:00;    17
19.02.2017 09:30:00;    16
03.03.2017 06:30:00;    16
21.04.2017 05:45:00;    18
01.05.2017 10:30:00;    23
24.06.2017 17:00:00;    32
06.07.2017 19:45:00;    32
05.08.2017 13:45:00;    35
30.09.2017 18:15:00;    38
31.10.2017 19:15:00;    33
30.11.2017 23:00:00;    23
28.12.2017 19:15:00;    20
21.01.2018 06:30:00;     5
22.02.2018 13:15:00;    17
22.03.2018 08:00:00;    15
02.04.2018 05:45:00;    17
31.05.2018 11:45:00;    44
30.06.2018 15:00:00;    31
31.07.2018 16:45:00;    26
18.08.2018 13:45:00;    25
30.09.2018 15:45:00;    29
26.10.2018 14:45:00;    26
28.11.2018 08:45:00;    20
30.12.2018 13:00:00;    19
29.01.2019 20:00:00;    18
12.02.2019 12:45:00;    16
15.03.2019 07:45:00;    18
01.04.2019 08:30:00;    22
02.05.2019 13:15:00;    30
30.06.2019 11:00:00;    48
25.07.2019 13:30:00;    35
05.08.2019 20:00:00;    36
30.09.2019 15:30:00;    29
27.10.2019 23:00:00;    26
17.11.2019 17:30:00;    23
23.12.2019 18:00:00;    20
29.01.2020 20:00:00;    17
02.02.2020 13:15:00;    18
08.03.2020 10:00:00;    23
01.04.2020 05:45:00;    29
04.05.2020 08:00:00;    48
03.06.2020 11:30:00;    37
31.07.2020 16:15:00;    29
01.08.2020 10:30:00;    29
24.09.2020 19:30:00;    31
22.10.2020 16:00:00;    28
30.11.2020 02:15:00;    25
05.12.2020 23:15:00;    22
15.01.2021 05:15:00;     7
17.02.2021 14:30:00;    18
20.03.2021 23:15:00;    18
16.04.2021 08:45:00;    21
08.05.2021 13:15:00;    29
29.06.2021 13:00:00;    38
08.07.2021 11:45:00;    34
29.08.2021 13:30:00;    41
28.09.2021 16:00:00;    30
30.10.2021 12:30:00;    24
24.11.2021 08:30:00;    20
22.12.2021 06:00:00;    17
