Messstelle:                ;Timelkam
HZB-Nummer:                ;205393
HD-Nummer:                 ;5490
DBMS-Nummer:               ;4001086
Gewässer:                  ;Vöckla
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;331,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1940              ;00441,65
   01.01.1977              ;00441,60
   05.12.1989              ;00441,00
   01.01.2006              ;00441,65
   29.06.2013              ;00442,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1962              ;470600,00 - 318500,00
   29.06.2013              ;470204,30 - 318586,40
   01.01.2020              ;470298,62 - 318612,52
Exportzeitreihe:           ;(4001086,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
01.01.2005 00:00:00;    86
03.02.2005 05:15:00;    86
01.03.2005 07:45:00;    92
08.04.2005 13:15:00;    94
29.05.2005 15:30:00;    93
24.06.2005 16:45:00;    89
07.07.2005 19:30:00;    84
02.08.2005 12:15:00;    88
01.09.2005 09:45:00;    82
31.10.2005 03:00:00;    74
08.11.2005 19:30:00;    76
15.12.2005 15:00:00;    81
27.01.2006 19:25:20;    32
10.02.2006 08:37:25;    30
08.03.2006 08:34:25;    38
26.04.2006 17:45:00;    51
12.05.2006 11:00:00;    41
17.06.2006 00:30:00;    34
27.07.2006 13:00:00;    30
20.08.2006 09:45:00;    31
18.09.2006 12:15:00;    31
28.10.2006 22:15:00;    25
01.11.2006 19:45:00;    28
22.12.2006 20:30:00;    26
01.01.2007 09:00:00;    30
26.02.2007 07:12:25;    35
15.03.2007 17:02:10;    38
30.04.2007 18:29:10;    23
03.05.2007 13:44:30;    23
30.06.2007 20:22:20;    28
27.07.2007 19:30:00;    27
29.08.2007 05:15:00;    26
16.09.2007 17:00:00;    29
19.10.2007 07:47:20;    22
06.11.2007 10:00:00;    29
24.12.2007 08:00:00;    34
27.01.2008 10:52:10;    34
20.02.2008 12:36:05;    24
06.03.2008 18:15:00;    30
18.04.2008 19:30:00;    35
26.05.2008 18:30:00;    23
28.06.2008 10:30:00;    27
01.07.2008 10:00:00;    16
30.08.2008 17:00:00;    19
22.09.2008 09:00:00;    16
27.10.2008 09:00:00;    16
07.11.2008 14:30:00;    13
27.12.2008 00:45:00;    18
23.01.2009 21:33:15;    20
18.02.2009 10:08:35;    20
22.03.2009 03:58:00;    51
26.04.2009 16:31:50;    21
26.05.2009 22:01:30;    21
15.06.2009 18:07:45;    21
17.07.2009 11:18:55;    36
26.08.2009 06:19:35;    26
02.09.2009 15:42:10;    26
02.10.2009 14:18:05;    21
15.11.2009 12:55:35;    27
01.12.2009 11:41:05;    29
27.01.2010 03:37:55;    27
01.02.2010 12:56:05;    27
10.03.2010 06:09:35;    25
08.04.2010 12:48:50;    26
29.05.2010 12:56:05;    26
30.06.2010 17:15:00;    31
22.07.2010 20:55:00;    26
23.08.2010 21:19:40;    28
07.09.2010 21:01:00;    23
17.10.2010 06:24:35;    23
06.11.2010 13:30:00;    22
02.12.2010 15:33:55;    26
29.01.2011 11:29:05;    28
24.02.2011 12:40:10;    28
16.03.2011 10:30:00;    24
30.04.2011 16:56:55;    22
14.05.2011 19:45:00;    14
15.06.2011 18:26:55;    25
10.07.2011 22:30:00;    19
26.08.2011 16:15:00;    22
29.09.2011 12:30:00;    20
05.10.2011 11:30:00;    16
18.11.2011 14:47:50;    19
02.12.2011 12:17:45;    21
18.01.2012 15:26:40;    37
15.02.2012 08:19:35;    25
29.03.2012 07:45:00;    24
29.04.2012 07:18:25;    28
11.05.2012 01:26:50;    22
30.06.2012 19:00:00;    18
01.07.2012 00:30:00;    21
20.08.2012 10:15:00;    10
11.09.2012 09:54:10;    20
05.10.2012 20:30:00;    22
28.11.2012 18:53:20;    16
01.12.2012 14:20:55;    17
27.01.2013 08:40:25;    38
26.02.2013 04:48:50;    51
28.03.2013 13:45:00;    45
30.04.2013 23:30:00;    36
01.05.2013 12:15:00;    33
