Messstelle:                ;Mödling
HZB-Nummer:                ;208108
HD-Nummer:                 ;no415
DBMS-Nummer:               ;3001049
Gewässer:                  ;Mödling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;59
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00223,46
   17.07.2000              ;00222,43
   01.01.2018              ;00223,23
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1896              ;746080,00 - 327182,00
Exportzeitreihe:           ;(3001049,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
18.11.2017 04:35:00;   124
19.12.2017 15:25:00;   126
31.01.2018 23:59:55;   129
26.02.2018 03:25:00;   124
03.03.2018 05:00:00;   124
26.04.2018 07:35:00;   126
31.05.2018 23:59:55;   124
22.06.2018 19:50:00;   122
21.07.2018 16:50:00;   122
24.08.2018 11:30:00;   119
01.09.2018 00:00:00;   121
24.10.2018 04:55:00;   120
16.11.2018 15:25:00;   122
03.12.2018 01:40:00;   125
04.01.2019 16:50:00;   133
28.02.2019 22:40:00;   131
21.03.2019 18:45:00;   129
28.04.2019 14:05:00;   125
03.05.2019 02:35:00;   129
30.06.2019 23:59:55;   124
27.07.2019 09:05:00;   121
28.08.2019 10:25:00;   120
01.09.2019 08:35:00;   121
02.10.2019 11:45:00;   121
03.11.2019 13:45:00;   121
12.12.2019 12:05:00;   122
28.01.2020 15:50:00;   124
02.02.2020 04:20:00;   124
20.03.2020 12:15:00;   124
25.04.2020 08:00:00;   122
15.05.2020 02:05:00;   121
20.06.2020 08:30:00;   123
31.07.2020 23:59:55;   120
03.08.2020 04:00:00;   119
23.09.2020 17:00:00;   121
11.10.2020 19:05:00;   121
29.11.2020 11:40:00;   124
09.12.2020 09:05:00;   123
12.01.2021 08:00:00;   123
15.02.2021 12:30:00;   126
31.03.2021 23:59:55;   125
06.04.2021 01:25:00;   124
29.05.2021 21:00:00;   124
29.06.2021 21:35:00;   120
13.07.2021 16:40:00;   117
14.08.2021 00:10:00;   120
16.09.2021 15:50:00;   119
06.10.2021 13:35:00;   119
01.11.2021 00:00:00;   121
23.12.2021 15:30:00;   122
