Messstelle:                ;Oberlaa
HZB-Nummer:                ;209353
HD-Nummer:                 ;W3
DBMS-Nummer:               ;9001003
Gewässer:                  ;Liesing
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Wien (MA 45)
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;101,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1980              ;00171,68
   01.01.2005              ;00171,48
   16.05.2018              ;00171,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1979              ;755323,29 - 333042,85
Exportzeitreihe:           ;(9001003,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1980 00:30,01.01.2022 00:00]
Werte:
10.08.2009 21:15:00;   254
03.09.2009 20:15:00;   136
12.10.2009 10:15:00;    82
04.11.2009 13:50:00;    85
09.12.2009 07:30:00;    87
18.01.2010 19:59:55;    59
25.02.2010 18:49:55;    69
31.03.2010 10:30:00;    68
14.04.2010 19:10:00;   173
10.05.2010 16:55:00;   282
02.06.2010 10:40:00;   198
17.07.2010 23:05:00;   314
13.08.2010 22:25:00;   383
25.09.2010 22:30:00;   207
17.10.2010 22:05:00;    72
09.11.2010 21:06:40;    68
12.12.2010 19:13:00;    75
13.01.2011 22:08:00;   135
05.02.2011 17:38:00;    62
18.03.2011 22:50:00;   154
14.04.2011 02:40:00;   128
27.05.2011 20:35:00;   190
08.06.2011 18:50:00;   302
21.07.2011 07:15:00;   153
15.08.2011 20:25:00;   106
19.09.2011 20:10:00;   165
12.10.2011 22:10:00;   151
24.11.2011 23:10:00;    66
17.12.2011 13:55:00;    59
21.01.2012 19:50:40;   146
28.02.2012 19:40:00;    87
30.03.2012 13:30:00;   100
20.04.2012 19:23:05;    71
06.05.2012 17:10:00;    74
10.06.2012 19:10:00;   169
19.07.2012 18:40:00;   335
05.08.2012 01:15:00;   156
13.09.2012 01:20:00;   117
27.10.2012 13:10:00;    68
05.11.2012 08:40:00;   156
23.12.2012 20:15:00;   121
07.01.2013 06:55:00;   204
02.02.2013 16:00:00;    71
31.03.2013 01:55:00;   109
17.04.2013 14:50:00;   107
21.05.2013 20:00:00;   222
24.06.2013 02:45:00;   177
11.07.2013 05:10:00;   122
09.08.2013 23:45:00;   145
16.09.2013 22:45:00;   242
11.10.2013 17:11:00;   109
11.11.2013 06:25:00;   102
27.12.2013 01:00:00;    76
22.01.2014 06:09:15;    34
12.02.2014 08:45:00;   110
15.03.2014 16:19:15;   141
10.04.2014 15:10:00;   113
24.05.2014 16:30:00;   253
25.06.2014 16:45:00;   215
30.07.2014 21:45:00;   237
31.08.2014 17:40:00;   189
13.09.2014 06:50:00;   222
17.10.2014 11:45:00;   153
18.11.2014 08:00:00;   121
01.12.2014 08:19:15;   104
10.01.2015 09:25:00;   138
24.02.2015 18:45:00;   110
02.03.2015 15:10:00;    79
17.04.2015 20:10:00;   132
23.05.2015 13:03:30;   174
22.06.2015 21:30:00;   102
08.07.2015 20:15:00;   102
17.08.2015 03:35:00;   136
04.09.2015 01:25:00;   123
14.10.2015 08:40:00;   137
30.11.2015 17:35:00;    85
01.12.2015 21:40:00;    83
29.01.2016 08:45:00;    79
29.02.2016 12:55:00;   105
05.03.2016 12:55:00;    63
08.04.2016 18:55:00;    78
13.05.2016 02:55:00;   194
26.06.2016 02:05:00;   259
23.07.2016 01:00:00;   237
