Messstelle:                ;Mitterbach (Brücke)
HZB-Nummer:                ;207704
HD-Nummer:                 ;no065
DBMS-Nummer:               ;3001010
Gewässer:                  ;Große Erlauf
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Energieversorgung Niederösterreich-AG.
orogr.Einzugsgebiet [km²]: ;29,7
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00791,00
   01.01.1977              ;00785,90
   01.01.2014              ;00785,91
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;672483,40 - 298038,20
   01.01.1977              ;672413,70 - 297773,50
Exportzeitreihe:           ;(3001010,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Werte:
08.12.2004 10:35:00;    69
21.01.2005 05:12:35;    80
14.02.2005 10:34:05;    79
20.03.2005 04:41:35;   112
27.04.2005 03:31:05;    97
04.05.2005 20:30:15;   102
09.06.2005 14:50:45;    80
12.07.2005 14:24:30;   100
16.08.2005 07:07:20;    97
18.09.2005 14:30:20;    83
03.10.2005 18:00:15;    78
17.11.2005 13:53:10;    75
18.12.2005 07:47:55;    71
19.01.2006 06:36:15;    68
17.02.2006 16:43:55;    72
29.03.2006 09:13:10;    94
18.04.2006 01:19:45;    98
27.05.2006 15:24:15;   102
03.06.2006 18:59:45;   130
01.07.2006 15:37:30;    84
08.08.2006 01:55:55;   160
01.09.2006 00:00:00;    84
30.10.2006 06:21:30;    74
15.11.2006 07:46:40;    98
01.12.2006 00:00:00;    70
20.01.2007 10:53:05;   109
28.02.2007 23:59:55;    78
09.03.2007 03:23:30;    86
13.04.2007 20:28:10;    82
10.05.2007 09:36:05;   114
01.06.2007 17:21:45;    74
07.07.2007 05:58:30;    76
13.08.2007 06:00:55;    74
07.09.2007 17:31:05;   143
28.10.2007 18:21:25;    91
11.11.2007 20:59:20;    86
04.12.2007 14:27:00;    81
21.01.2008 00:55:00;    82
28.02.2008 18:35:00;    81
04.03.2008 00:21:20;    95
23.04.2008 10:25:55;    94
01.05.2008 04:24:30;    89
06.06.2008 03:36:10;    77
24.07.2008 12:30:00;   119
