Messstelle:                ;St. Leonhard im Pitztal
HZB-Nummer:                ;201335
HD-Nummer:                 ;
DBMS-Nummer:               ;7001031
Gewässer:                  ;Pitze
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Tirol
Messstellenbetreiber:      ;Tiroler Wasserkraftwerke-AG.
orogr.Einzugsgebiet [km²]: ;165,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1941              ;01337,45
   01.01.1976              ;01337,97
   01.01.1982              ;01338,77
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1941              ;188765,00 - 214655,00
Exportzeitreihe:           ;(7001031,Wasserstand,M,Max,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[08.04.1954 00:00,01.01.2022 00:00]
Werte:
13.07.2011 23:45:00;    62
26.08.2011 18:45:00;    58
04.09.2011 18:30:00;    63
10.10.2011 14:45:00;    40
01.11.2011 00:00:00;    18
12.12.2011 13:15:00;    11
18.01.2012 13:45:00;     9
09.02.2012 16:30:00;     9
28.03.2012 22:15:00;    19
29.04.2012 16:30:00;    41
24.05.2012 02:15:00;    47
21.06.2012 03:00:00;    74
02.07.2012 21:15:00;    75
26.08.2012 02:30:00;   130
01.09.2012 00:00:00;    44
10.10.2012 00:00:00;    34
11.11.2012 14:00:00;    26
07.12.2012 14:30:00;    14
26.01.2013 16:00:00;    13
10.02.2013 14:15:00;    19
16.03.2013 13:00:00;    15
15.04.2013 17:45:00;    50
02.05.2013 19:30:00;    38
19.06.2013 22:30:00;    94
29.07.2013 22:15:00;    75
19.08.2013 18:45:00;    72
09.09.2013 05:45:00;    43
23.10.2013 22:30:00;    42
03.11.2013 13:30:00;    30
01.12.2013 13:45:00;    17
29.01.2014 13:30:00;    15
24.02.2014 13:15:00;    14
20.03.2014 22:15:00;    18
28.04.2014 11:45:00;    32
23.05.2014 19:00:00;    44
14.06.2014 00:00:00;    62
31.07.2014 07:30:00;    89
13.08.2014 14:15:00;   130
01.09.2014 00:00:00;    43
01.10.2014 04:30:00;    28
06.11.2014 00:45:00;    27
01.12.2014 00:00:00;    17
11.01.2015 09:30:00;    16
20.02.2015 14:15:00;    12
31.03.2015 19:30:00;    16
27.04.2015 18:00:00;    28
15.05.2015 06:15:00;    49
08.06.2015 07:00:00;    75
17.07.2015 20:15:00;    86
04.08.2015 21:30:00;    76
