Messstelle:                ;Knotzberg
HZB-Nummer:                ;206177
HD-Nummer:                 ;3760
DBMS-Nummer:               ;4001159
Gewässer:                  ;Leitenbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Oberösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;48,4
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00439,00
   01.01.1989              ;00417,98
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1976              ;481940,00 - 359390,00
   01.04.2020              ;481940,00 - 359405,00
Exportzeitreihe:           ;(4001159,Wasserstand,M,Min,M,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[29.06.1976 16:00,01.01.2022 00:00]
Werte:
22.07.2015 22:15:00;   135
31.08.2015 20:00:00;   130
01.09.2015 21:00:00;   129
06.10.2015 19:45:00;   129
01.11.2015 18:45:00;   130
30.12.2015 07:30:00;   133
01.01.2016 05:30:00;   133
20.02.2016 14:30:00;   145
31.03.2016 16:00:00;   140
30.04.2016 15:45:00;   136
11.05.2016 17:30:00;   134
25.06.2016 18:30:00;   139
11.07.2016 19:45:00;   137
28.08.2016 19:15:00;   137
15.09.2016 18:15:00;   136
01.10.2016 20:15:00;   139
04.11.2016 08:00:00;   141
23.12.2016 02:30:00;   141
06.01.2017 03:30:00;   140
01.02.2017 06:30:00;   141
31.03.2017 21:30:00;   148
16.04.2017 17:45:00;   143
30.05.2017 20:00:00;   139
24.06.2017 18:45:00;   134
06.07.2017 22:30:00;   135
01.08.2017 22:45:00;   135
27.09.2017 03:30:00;   136
01.10.2017 07:00:00;   136
05.11.2017 08:30:00;   142
04.12.2017 08:45:00;   149
15.01.2018 12:30:00;   150
28.02.2018 23:59:55;   143
05.03.2018 14:30:00;   143
30.04.2018 18:45:00;   136
31.05.2018 19:00:00;   132
21.06.2018 19:00:00;   131
19.07.2018 20:15:00;   130
21.08.2018 22:00:00;   129
12.09.2018 02:15:00;   132
15.10.2018 06:45:00;   133
02.11.2018 06:15:00;   134
01.12.2018 03:45:00;   138
31.01.2019 09:30:00;   147
02.02.2019 08:15:00;   146
31.03.2019 23:15:00;   151
26.04.2019 18:45:00;   141
19.05.2019 16:15:00;   140
20.06.2019 18:15:00;   138
11.07.2019 20:00:00;   137
09.08.2019 22:15:00;   137
21.09.2019 21:45:00;   138
01.10.2019 00:45:00;   138
01.11.2019 05:30:00;   141
06.12.2019 13:30:00;   145
27.01.2020 04:00:00;   142
10.02.2020 09:30:00;   156
31.03.2020 01:30:00;   146
28.04.2020 19:30:00;   139
22.05.2020 21:00:00;   138
03.06.2020 23:00:00;   138
10.07.2020 19:00:00;   142
02.08.2020 01:30:00;   144
23.09.2020 04:00:00;   141
05.10.2020 23:45:00;   146
30.11.2020 12:45:00;   149
09.12.2020 05:45:00;   147
18.01.2021 01:30:00;   148
28.02.2021 23:45:00;   151
31.03.2021 04:15:00;   147
29.04.2021 18:00:00;   141
11.05.2021 19:15:00;   141
21.06.2021 17:15:00;   136
13.07.2021 20:15:00;   140
21.08.2021 18:15:00;   143
15.09.2021 02:30:00;   142
04.10.2021 01:45:00;   142
27.11.2021 06:30:00;   143
23.12.2021 16:00:00;   150
