Messstelle:                ;Woppendorf
HZB-Nummer:                ;210237
HD-Nummer:                 ;
DBMS-Nummer:               ;1001021
Gewässer:                  ;Pinka
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Burgenland
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;416,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00242,00
   01.01.1984              ;00242,00
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1939              ;754550,00 - 229400,00
   03.02.2012              ;754510,00 - 229404,00
   05.10.2018              ;754500,17 - 229420,08
Exportzeitreihe:           ;(1001021,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1976 00:00,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
24.01.1977 00:00:00;   271
25.01.1977 00:00:00;   271
26.01.1977 00:00:00;   278
27.01.1977 00:00:00;   289
28.01.1977 00:00:00;   302
29.01.1977 00:00:00;   353
30.01.1977 00:00:00;   400
31.01.1977 00:00:00;   339
01.02.1977 00:00:00;   295
02.02.1977 00:00:00;   290
03.02.1977 00:00:00;   285
04.02.1977 00:00:00;   276
05.02.1977 00:00:00;   288
06.02.1977 00:00:00;   357
07.02.1977 00:00:00;   335
08.02.1977 00:00:00;   321
09.02.1977 00:00:00;   310
10.02.1977 00:00:00;   333
11.02.1977 00:00:00;   411
12.02.1977 00:00:00;   440
13.02.1977 00:00:00;   407
14.02.1977 00:00:00;   324
15.02.1977 00:00:00;   323
16.02.1977 00:00:00;   320
17.02.1977 00:00:00;   314
18.02.1977 00:00:00;   309
19.02.1977 00:00:00;   300
20.02.1977 00:00:00;   295
21.02.1977 00:00:00;   294
22.02.1977 00:00:00;   309
23.02.1977 00:00:00;   320
24.02.1977 00:00:00;   312
25.02.1977 00:00:00;   312
26.02.1977 00:00:00;   306
27.02.1977 00:00:00;   295
28.02.1977 00:00:00;   288
01.03.1977 00:00:00;   285
02.03.1977 00:00:00;   283
03.03.1977 00:00:00;   294
04.03.1977 00:00:00;   301
05.03.1977 00:00:00;   294
06.03.1977 00:00:00;   290
07.03.1977 00:00:00;   288
08.03.1977 00:00:00;   285
09.03.1977 00:00:00;   282
10.03.1977 00:00:00;   281
11.03.1977 00:00:00;   283
12.03.1977 00:00:00;   281
13.03.1977 00:00:00;   281
14.03.1977 00:00:00;   279
15.03.1977 00:00:00;   279
16.03.1977 00:00:00;   276
17.03.1977 00:00:00;   275
18.03.1977 00:00:00;   277
19.03.1977 00:00:00;   280
20.03.1977 00:00:00;   280
21.03.1977 00:00:00;   274
22.03.1977 00:00:00;   272
23.03.1977 00:00:00;   271
24.03.1977 00:00:00;   274
25.03.1977 00:00:00;   276
26.03.1977 00:00:00;   277
27.03.1977 00:00:00;   274
28.03.1977 00:00:00;   272
29.03.1977 00:00:00;   271
30.03.1977 00:00:00;   274
31.03.1977 00:00:00;   276
01.04.1977 00:00:00;   277
02.04.1977 00:00:00;   273
03.04.1977 00:00:00;   273
04.04.1977 00:00:00;   269
05.04.1977 00:00:00;   269
06.04.1977 00:00:00;   269
07.04.1977 00:00:00;   270
08.04.1977 00:00:00;   272
09.04.1977 00:00:00;   272
10.04.1977 00:00:00;   267
11.04.1977 00:00:00;   270
12.04.1977 00:00:00;   271
13.04.1977 00:00:00;   269
14.04.1977 00:00:00;   269
15.04.1977 00:00:00;   266
16.04.1977 00:00:00;   265
17.04.1977 00:00:00;   267
18.04.1977 00:00:00;   272
19.04.1977 00:00:00;   273
20.04.1977 00:00:00;   270
21.04.1977 00:00:00;   269
22.04.1977 00:00:00;   265
23.04.1977 00:00:00;   268
24.04.1977 00:00:00;   269
25.04.1977 00:00:00;   268
26.04.1977 00:00:00;   266
27.04.1977 00:00:00;   265
28.04.1977 00:00:00;   268
29.04.1977 00:00:00;   269
30.04.1977 00:00:00;   268
01.05.1977 00:00:00;   265
02.05.1977 00:00:00;   263
03.05.1977 00:00:00;   265
04.05.1977 00:00:00;   268
05.05.1977 00:00:00;   269
06.05.1977 00:00:00;   265
07.05.1977 00:00:00;   267
08.05.1977 00:00:00;   264
09.05.1977 00:00:00;   263
10.05.1977 00:00:00;   263
11.05.1977 00:00:00;   260
12.05.1977 00:00:00;   259
13.05.1977 00:00:00;   262
14.05.1977 00:00:00;   266
15.05.1977 00:00:00;   273
16.05.1977 00:00:00;   271
17.05.1977 00:00:00;   271
18.05.1977 00:00:00;   268
19.05.1977 00:00:00;   267
20.05.1977 00:00:00;   269
21.05.1977 00:00:00;   267
22.05.1977 00:00:00;   265
23.05.1977 00:00:00;   265
24.05.1977 00:00:00;   260
25.05.1977 00:00:00;   258
26.05.1977 00:00:00;   256
