Messstelle:                ;Purkersdorf
HZB-Nummer:                ;209627
HD-Nummer:                 ;no395
DBMS-Nummer:               ;3001178
Gewässer:                  ;Gablitzbach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;23
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1989              ;00240,00
   01.01.2005              ;00245,05
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1989              ;738253,00 - 341549,00
Exportzeitreihe:           ;(3001178,Wasserstand,I,Mit,T,1,F,Z,0,,,)
Einheit:                   ;[cm]
Exportzeitraum:            ;[01.01.1989 00:15,01.01.2022 00:00]
Der Intervallwert gilt bis zum nächsten Zeitpunkt mit einem Wert oder Lücke
Werte:
04.08.1990 00:00:00;   121
05.08.1990 00:00:00;   120
06.08.1990 00:00:00;   120
07.08.1990 00:00:00;   120
08.08.1990 00:00:00;   120
09.08.1990 00:00:00;   119
10.08.1990 00:00:00;   118
11.08.1990 00:00:00;   118
12.08.1990 00:00:00;   118
13.08.1990 00:00:00;   118
14.08.1990 00:00:00;   118
15.08.1990 00:00:00;   118
16.08.1990 00:00:00;   118
17.08.1990 00:00:00;   121
18.08.1990 00:00:00;   120
19.08.1990 00:00:00;   121
20.08.1990 00:00:00;   120
21.08.1990 00:00:00;   119
22.08.1990 00:00:00;   121
23.08.1990 00:00:00;   121
24.08.1990 00:00:00;   119
25.08.1990 00:00:00;   120
26.08.1990 00:00:00;   120
27.08.1990 00:00:00;   119
28.08.1990 00:00:00;   117
29.08.1990 00:00:00;   117
30.08.1990 00:00:00;   117
31.08.1990 00:00:00;   116
01.09.1990 00:00:00;   116
02.09.1990 00:00:00;   117
03.09.1990 00:00:00;   117
04.09.1990 00:00:00;   119
05.09.1990 00:00:00;   119
06.09.1990 00:00:00;   118
07.09.1990 00:00:00;   122
08.09.1990 00:00:00;   122
09.09.1990 00:00:00;   119
10.09.1990 00:00:00;   119
11.09.1990 00:00:00;   120
12.09.1990 00:00:00;   120
13.09.1990 00:00:00;   119
14.09.1990 00:00:00;   119
15.09.1990 00:00:00;   119
16.09.1990 00:00:00;   119
17.09.1990 00:00:00;   119
18.09.1990 00:00:00;   120
19.09.1990 00:00:00;   119
20.09.1990 00:00:00;   119
21.09.1990 00:00:00;   120
22.09.1990 00:00:00;   121
23.09.1990 00:00:00;   124
24.09.1990 00:00:00;   127
25.09.1990 00:00:00;   122
26.09.1990 00:00:00;   120
27.09.1990 00:00:00;   119
28.09.1990 00:00:00;   119
29.09.1990 00:00:00;   119
30.09.1990 00:00:00;   119
01.10.1990 00:00:00;   119
02.10.1990 00:00:00;   125
03.10.1990 00:00:00;   121
04.10.1990 00:00:00;   120
05.10.1990 00:00:00;   121
