Messstelle:                ;Töbring
HZB-Nummer:                ;213116
HD-Nummer:                 ;00337
DBMS-Nummer:               ;2001067
Gewässer:                  ;Treffner Bach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Kärnten
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;140,1
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1973              ;00514,52
   02.10.1996              ;00512,52
   07.07.2009              ;00512,55
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1974              ;490813,00 - 168328,00
   01.01.1976              ;490771,00 - 168405,00
   01.01.1997              ;490813,00 - 168328,00
Exportzeitreihe:           ;(2001067,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1974 12:00,01.01.2022 00:00]
Werte:
24.09.2012 15:30:00; 0,296
02.10.2012 17:15:00; 0,256
18.11.2012 14:30:00;  1,44
22.12.2012 14:30:00; 0,296
25.01.2013 16:45:00; 0,339
26.02.2013 21:45:00; 0,726
09.03.2013 13:30:00; 0,542
07.04.2013 14:30:00; 0,864
17.05.2013 14:15:00;  1,35
03.06.2013 16:45:00;  1,18
22.07.2013 18:15:00; 0,385
10.08.2013 10:45:00; 0,256
17.09.2013 18:45:00; 0,296
31.10.2013 13:15:00; 0,339
27.11.2013 17:00:00; 0,864
09.12.2013 11:45:00; 0,937
03.01.2014 14:45:00;  1,54
05.02.2014 09:15:00;  1,54
01.03.2014 00:00:00;  3,64
09.04.2014 09:45:00;  2,07
25.05.2014 11:15:00;  2,07
18.06.2014 15:00:00; 0,438
07.07.2014 09:15:00; 0,976
05.08.2014 11:00:00;  1,05
24.09.2014 08:30:00;  1,36
18.10.2014 09:00:00; 0,390
01.11.2014 10:45:00;  1,11
27.12.2014 11:45:00; 0,950
31.01.2015 08:45:00; 0,855
01.02.2015 23:15:00; 0,950
15.03.2015 11:00:00; 0,765
10.04.2015 12:30:00; 0,765
16.05.2015 13:15:00; 0,765
13.06.2015 15:15:00; 0,549
15.07.2015 16:15:00; 0,765
31.08.2015 17:45:00; 0,551
04.09.2015 08:30:00; 0,441
01.10.2015 17:00:00;  1,15
11.11.2015 11:30:00; 0,352
17.12.2015 12:15:00; 0,308
