Messstelle:                ;Löbenau
HZB-Nummer:                ;203737
HD-Nummer:                 ;
DBMS-Nummer:               ;5001068
Gewässer:                  ;Taurach
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Salzburg
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;86,5
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00835,80
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1908              ;461290,00 - 247850,00
Exportzeitreihe:           ;(5001068,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.01.1951 12:00,01.01.2022 00:00]
Werte:
01.09.2001 00:00:00;  4,72
30.10.2001 08:00:00;  3,03
30.11.2001 23:59:55;  3,02
31.12.2001 23:59:55;  2,86
24.01.2002 12:15:00;  2,67
22.02.2002 02:45:00;  2,57
06.03.2002 01:15:00;  2,57
10.04.2002 07:15:00;  4,22
31.05.2002 01:30:00;  4,27
25.06.2002 23:45:00;  3,84
06.07.2002 09:00:00;  3,81
04.08.2002 10:00:00;  3,84
18.09.2002 22:30:00;  3,60
30.10.2002 10:30:00;  3,78
07.11.2002 07:15:00;  4,01
11.12.2002 09:45:00;  3,18
31.01.2003 23:59:55;  2,78
19.02.2003 05:30:00;  2,41
04.03.2003 09:00:00;  2,19
16.04.2003 15:15:00;  2,54
31.05.2003 01:30:00;  4,42
30.06.2003 14:01:15;  3,50
14.07.2003 09:30:00;  3,09
21.08.2003 22:30:00;  2,71
10.09.2003 18:32:30;  2,42
29.10.2003 00:30:00;  1,97
01.11.2003 00:00:00;  2,48
25.12.2003 08:00:00;  2,67
31.01.2004 08:00:00;  2,51
29.02.2004 08:00:00;  2,51
01.03.2004 00:00:00;  2,51
16.04.2004 08:30:00;  3,11
11.05.2004 11:00:00;  5,17
23.06.2004 10:30:00;  6,00
31.07.2004 19:45:00;  5,12
25.08.2004 22:39:00;  3,91
14.09.2004 21:30:00;  3,63
10.10.2004 05:15:00;  3,65
30.11.2004 20:45:00;  3,17
31.12.2004 23:59:55;  2,83
29.01.2005 09:00:00;  2,53
06.02.2005 09:45:00;  2,53
01.03.2005 10:15:00;  2,38
03.04.2005 06:30:00;  4,25
12.05.2005 12:45:00;  5,49
25.06.2005 12:00:00;  5,56
29.07.2005 16:15:00;  5,38
13.08.2005 16:30:00;  4,80
27.09.2005 05:15:00;  5,07
31.10.2005 23:15:00;  3,95
30.11.2005 23:59:55;  3,51
30.12.2005 19:45:00;  2,98
08.01.2006 10:45:00;  2,98
12.02.2006 09:15:00;  2,82
01.03.2006 04:30:00;  2,82
07.04.2006 00:45:00;  3,82
26.05.2006 17:30:00;  6,66
26.06.2006 16:45:00;  5,06
20.07.2006 19:45:00;  4,07
01.08.2006 13:15:00;  4,45
30.09.2006 18:00:00;  3,32
