Messstelle:                ;Aigen im Ennstal-Ketten
HZB-Nummer:                ;210773
HD-Nummer:                 ;ow1185
DBMS-Nummer:               ;6001028
Gewässer:                  ;Gulling
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Steiermark
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;155,9
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00640,74
   01.01.1994              ;00640,42
   19.11.2003              ;00637,78
   20.01.2014              ;00643,84
   26.05.2021              ;00644,59
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1857              ;00000,00 - 00000,00
   01.01.1994              ;585442,30 - 267950,50
   19.11.2003              ;585469,40 - 268350,20
   20.01.2014              ;585535,50 - 267500,20
   01.01.2018              ;585538,90 - 267487,50
Exportzeitreihe:           ;(6001028,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[01.01.1976 00:30,01.01.2022 00:00]
Werte:
29.09.2017 03:37:00;  5,11
21.10.2017 08:22:00;  3,21
21.11.2017 10:00:00;  3,42
11.12.2017 09:52:00;  2,43
02.01.2018 11:07:00;  2,79
23.02.2018 09:45:00;  1,45
05.03.2018 09:45:00;  1,45
01.04.2018 09:07:00;  3,81
28.05.2018 13:07:00;  4,58
21.06.2018 16:07:00;  2,73
31.07.2018 20:37:00;  2,32
23.08.2018 18:22:00;  1,37
29.09.2018 11:07:00;  1,75
13.10.2018 13:37:00; 0,900
19.11.2018 19:52:00;  1,86
18.12.2018 10:52:00;  1,48
30.01.2019 02:45:00;  2,33
05.02.2019 16:30:00;  2,33
12.03.2019 15:30:00;  3,01
04.04.2019 12:15:00;  4,04
02.05.2019 11:30:00;  4,28
26.06.2019 12:00:00;  3,69
27.07.2019 10:15:00;  1,95
27.08.2019 17:45:00;  2,64
16.09.2019 17:30:00;  2,12
25.10.2019 08:45:00;  1,84
12.11.2019 17:15:00;  1,91
13.12.2019 11:15:00;  2,17
23.01.2020 16:30:00;  1,73
19.02.2020 14:00:00;  2,53
05.03.2020 17:00:00;  1,77
17.04.2020 09:00:00;  2,26
23.05.2020 19:45:00;  4,45
28.06.2020 18:30:00;  3,56
01.07.2020 08:37:00;  1,93
26.08.2020 07:07:00;  1,86
14.09.2020 14:52:00;  2,86
09.10.2020 13:22:00;  3,99
24.11.2020 18:07:00;  2,19
28.12.2020 09:07:00;  1,35
18.01.2021 09:52:00;  1,06
01.02.2021 15:07:00;  1,84
23.03.2021 22:22:00;  1,93
08.04.2021 13:52:00;  2,83
04.05.2021 12:07:00;  5,47
23.06.2021 14:30:00;  2,46
21.07.2021 09:45:00;  2,81
31.08.2021 15:52:00;  2,19
17.09.2021 02:07:00;  2,21
23.10.2021 12:52:00;  1,76
28.11.2021 09:07:00;  1,56
11.12.2021 17:22:00;  1,34
