Messstelle:                ;Loipersbach
HZB-Nummer:                ;208785
HD-Nummer:                 ;no705
DBMS-Nummer:               ;3001103
Gewässer:                  ;Schwarza
Sachgebiet:                ;OWF
Dienststelle:              ;HD-Niederösterreich
Messstellenbetreiber:      ;Hydrographischer Dienst
orogr.Einzugsgebiet [km²]: ;716,6
Pegelnullpunkt:
  gültig seit:             ;Höhe [m ü.A.]:
   01.01.1976              ;00345,50
   01.01.1977              ;00346,76
   01.01.1984              ;00347,00
   01.01.2002              ;00344,46
Bundesmeldenetz(BMN)-Koordinaten:
  gültig seit:             ;Rechtswert y [m] - Hochwert x [m]:
   01.01.1968              ;734242,60 - 286864,50
Exportzeitreihe:           ;(3001103,Abfluss,M,Min,M,1,F,Z,50,,,)
Einheit:                   ;[m³/s]
Exportzeitraum:            ;[31.12.1977 23:59:55,01.01.2022 00:00]
Werte:
11.10.2008 17:17:30; 0,000
01.11.2008 00:00:00; 0,000
01.12.2008 00:00:00; 0,000
03.01.2009 23:00:00; 0,000
01.02.2009 00:00:00; 0,000
01.03.2009 18:25:00; 0,751
25.04.2009 19:50:00;  11,6
28.05.2009 16:15:00;  2,84
18.06.2009 23:20:00; 0,276
31.07.2009 07:05:00;  2,22
27.08.2009 11:40:00;  1,24
17.09.2009 09:00:00; 0,000
01.10.2009 00:00:00; 0,000
21.11.2009 01:40:00; 0,000
01.12.2009 00:00:00; 0,000
01.01.2010 00:00:00; 0,000
01.02.2010 00:00:00; 0,000
05.03.2010 12:10:05; 0,000
10.04.2010 02:00:00; 0,921
01.05.2010 00:00:00;  1,14
27.06.2010 19:20:00;  1,51
10.07.2010 18:50:00; 0,000
01.08.2010 05:00:05; 0,000
14.09.2010 13:30:05; 0,000
04.10.2010 04:05:35; 0,000
01.11.2010 00:00:00; 0,000
01.12.2010 00:00:00; 0,000
12.01.2011 23:17:30; 0,000
01.02.2011 00:00:00; 0,000
01.03.2011 00:00:00; 0,000
01.04.2011 00:00:00; 0,000
01.05.2011 00:00:00; 0,000
01.06.2011 00:00:00; 0,000
01.07.2011 00:00:00; 0,000
01.08.2011 00:00:00; 0,000
01.09.2011 00:00:00; 0,000
01.10.2011 00:00:00; 0,000
01.11.2011 00:00:00; 0,000
01.12.2011 00:00:00; 0,000
01.01.2012 00:00:00; 0,000
01.02.2012 11:50:10; 0,000
10.03.2012 20:00:00;  3,38
20.04.2012 17:10:00;  2,23
29.05.2012 02:59:55; 0,000
01.06.2012 00:00:00; 0,000
01.07.2012 23:46:05; 0,000
16.08.2012 22:58:55; 0,000
01.09.2012 00:00:00; 0,000
01.10.2012 00:00:00; 0,000
01.11.2012 00:00:00; 0,000
01.12.2012 00:00:00; 0,000
01.01.2013 00:00:00; 0,000
25.02.2013 11:50:00; 0,318
30.03.2013 10:20:00;  1,09
02.04.2013 06:05:00;  1,12
30.05.2013 09:50:00;  2,63
21.06.2013 23:30:00;  2,24
22.07.2013 12:00:00; 0,000
01.08.2013 00:00:00; 0,000
02.09.2013 15:59:55; 0,000
07.10.2013 10:50:00; 0,000
01.11.2013 00:00:00; 0,000
31.12.2013 23:35:00;  1,09
18.01.2014 19:40:00; 0,000
01.02.2014 00:00:00; 0,000
03.03.2014 12:45:00; 0,000
01.04.2014 18:40:00; 0,000
10.05.2014 17:55:00; 0,207
25.06.2014 08:25:00; 0,000
07.07.2014 01:00:00; 0,000
29.08.2014 01:15:00; 0,185
10.09.2014 18:00:00;  2,33
21.10.2014 09:35:00; 0,991
16.11.2014 13:31:00; 0,000
06.12.2014 08:55:00; 0,000
01.01.2015 00:00:35; 0,003
13.02.2015 09:30:00; 0,000
16.03.2015 04:45:00; 0,000
08.04.2015 00:30:00;  2,12
20.05.2015 15:35:55; 0,003
21.06.2015 02:25:00; 0,000
01.07.2015 00:00:00; 0,000
01.08.2015 00:00:00; 0,000
01.09.2015 00:00:00; 0,000
01.10.2015 00:00:00; 0,000
01.11.2015 00:00:00; 0,000
01.12.2015 00:00:00; 0,000
01.01.2016 00:00:00; 0,000
01.02.2016 00:00:00; 0,000
25.03.2016 16:50:00; 0,000
